=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2020.03.10 14:20:57 =~=~=~=~=~=~=~=~=~=~=~=
Current Pitch is:	4.777266 degrees
Current Roll is:	5.228256 degrees
Current Pitch is:	4.812035 degrees
Current Roll is:	5.585480 degrees
Current Pitch is:	4.829355 degrees
Current Roll is:	5.809654 degrees
Current Pitch is:	4.854070 degrees
Current Roll is:	5.844824 degrees
Current Pitch is:	4.872746 degrees
Current Roll is:	5.887897 degrees
Current Pitch is:	4.889606 degrees
Current Roll is:	5.964797 degrees
Current Pitch is:	4.912539 degrees
Current Roll is:	5.996099 degrees
Current Pitch is:	4.928468 degrees
Current Roll is:	5.957146 degrees
Current Pitch is:	4.949195 degrees
Current Roll is:	5.853047 degrees
Current Pitch is:	4.962236 degrees
Current Roll is:	5.797942 degrees
Current Pitch is:	4.983891 degrees
Current Roll is:	5.764540 degrees
Current Pitch is:	5.002690 degrees
Current Roll is:	5.748851 degrees
Current Pitch is:	5.016396 degrees
Current Roll is:	5.727648 degrees
Current Pitch is:	5.034029 degrees
Current Roll is:	5.735892 degrees
Current Pitch is:	5.050159 degrees
Current Roll is:	5.777736 degrees
Current Pitch is:	5.073898 degrees
Current Roll is:	5.799777 degrees
Current Pitch is:	5.089848 degrees
Current Roll is:	5.825473 degrees
Current Pitch is:	5.106675 degrees
Current Roll is:	5.813944 degrees
Current Pitch is:	5.123201 degrees
Current Roll is:	5.783735 degrees
Current Pitch is:	5.140297 degrees
Current Roll is:	5.764859 degrees
Current Pitch is:	5.161365 degrees
Current Roll is:	5.766861 degrees
Current Pitch is:	5.180401 degrees
Current Roll is:	5.759715 degrees
Current Pitch is:	5.198684 degrees
Current Roll is:	5.745960 degrees
Current Pitch is:	5.216774 degrees
Current Roll is:	5.734595 degrees
Current Pitch is:	5.235906 degrees
Current Roll is:	5.725418 degrees
Current Pitch is:	5.254814 degrees
Current Roll is:	5.711317 degrees
Current Pitch is:	5.271677 degrees
Current Roll is:	5.709257 degrees
Current Pitch is:	5.291441 degrees
